"Countries, territories and areas","2022; Population using at least basic drinking-water services (%); Total","2022; Population using at least basic drinking-water services (%); Urban","2022; Population using at least basic drinking-water services (%); Rural","2022; Population using safely managed drinking-water services (%); Total","2022; Population using safely managed drinking-water services (%); Urban","2022; Population using safely managed drinking-water services (%); Rural","2021; Population using at least basic drinking-water services (%); Total","2021; Population using at least basic drinking-water services (%); Urban","2021; Population using at least basic drinking-water services (%); Rural","2021; Population using safely managed drinking-water services (%); Total","2021; Population using safely managed drinking-water services (%); Urban","2021; Population using safely managed drinking-water services (%); Rural","2020; Population using at least basic drinking-water services (%); Total","2020; Population using at least basic drinking-water services (%); Urban","2020; Population using at least basic drinking-water services (%); Rural","2020; Population using safely managed drinking-water services (%); Total","2020; Population using safely managed drinking-water services (%); Urban","2020; Population using safely managed drinking-water services (%); Rural","2019; Population using at least basic drinking-water services (%); Total","2019; Population using at least basic drinking-water services (%); Urban","2019; Population using at least basic drinking-water services (%); Rural","2019; Population using safely managed drinking-water services (%); Total","2019; Population using safely managed drinking-water services (%); Urban","2019; Population using safely managed drinking-water services (%); Rural","2018; Population using at least basic drinking-water services (%); Total","2018; Population using at least basic drinking-water services (%); Urban","2018; Population using at least basic drinking-water services (%); Rural","2018; Population using safely managed drinking-water services (%); Total","2018; Population using safely managed drinking-water services (%); Urban","2018; Population using safely managed drinking-water services (%); Rural","2017; Population using at least basic drinking-water services (%); Total","2017; Population using at least basic drinking-water services (%); Urban","2017; Population using at least basic drinking-water services (%); Rural","2017; Population using safely managed drinking-water services (%); Total","2017; Population using safely managed drinking-water services (%); Urban","2017; Population using safely managed drinking-water services (%); Rural","2016; Population using at least basic drinking-water services (%); Total","2016; Population using at least basic drinking-water services (%); Urban","2016; Population using at least basic drinking-water services (%); Rural","2016; Population using safely managed drinking-water services (%); Total","2016; Population using safely managed drinking-water services (%); Urban","2016; Population using safely managed drinking-water services (%); Rural","2015; Population using at least basic drinking-water services (%); Total","2015; Population using at least basic drinking-water services (%); Urban","2015; Population using at least basic drinking-water services (%); Rural","2015; Population using safely managed drinking-water services (%); Total","2015; Population using safely managed drinking-water services (%); Urban","2015; Population using safely managed drinking-water services (%); Rural","2014; Population using at least basic drinking-water services (%); Total","2014; Population using at least basic drinking-water services (%); Urban","2014; Population using at least basic drinking-water services (%); Rural","2014; Population using safely managed drinking-water services (%); Total","2014; Population using safely managed drinking-water services (%); Urban","2014; Population using safely managed drinking-water services (%); Rural","2013; Population using at least basic drinking-water services (%); Total","2013; Population using at least basic drinking-water services (%); Urban","2013; Population using at least basic drinking-water services (%); Rural","2013; Population using safely managed drinking-water services (%); Total","2013; Population using safely managed drinking-water services (%); Urban","2013; Population using safely managed drinking-water services (%); Rural","2012; Population using at least basic drinking-water services (%); Total","2012; Population using at least basic drinking-water services (%); Urban","2012; Population using at least basic drinking-water services (%); Rural","2012; Population using safely managed drinking-water services (%); Total","2012; Population using safely managed drinking-water services (%); Urban","2012; Population using safely managed drinking-water services (%); Rural","2011; Population using at least basic drinking-water services (%); Total","2011; Population using at least basic drinking-water services (%); Urban","2011; Population using at least basic drinking-water services (%); Rural","2011; Population using safely managed drinking-water services (%); Total","2011; Population using safely managed drinking-water services (%); Urban","2011; Population using safely managed drinking-water services (%); Rural","2010; Population using at least basic drinking-water services (%); Total","2010; Population using at least basic drinking-water services (%); Urban","2010; Population using at least basic drinking-water services (%); Rural","2010; Population using safely managed drinking-water services (%); Total","2010; Population using safely managed drinking-water services (%); Urban","2010; Population using safely managed drinking-water services (%); Rural","2009; Population using at least basic drinking-water services (%); Total","2009; Population using at least basic drinking-water services (%); Urban","2009; Population using at least basic drinking-water services (%); Rural","2009; Population using safely managed drinking-water services (%); Total","2009; Population using safely managed drinking-water services (%); Urban","2009; Population using safely managed drinking-water services (%); Rural","2008; Population using at least basic drinking-water services (%); Total","2008; Population using at least basic drinking-water services (%); Urban","2008; Population using at least basic drinking-water services (%); Rural","2008; Population using safely managed drinking-water services (%); Total","2008; Population using safely managed drinking-water services (%); Urban","2008; Population using safely managed drinking-water services (%); Rural","2007; Population using at least basic drinking-water services (%); Total","2007; Population using at least basic drinking-water services (%); Urban","2007; Population using at least basic drinking-water services (%); Rural","2007; Population using safely managed drinking-water services (%); Total","2007; Population using safely managed drinking-water services (%); Urban","2007; Population using safely managed drinking-water services (%); Rural","2006; Population using at least basic drinking-water services (%); Total","2006; Population using at least basic drinking-water services (%); Urban","2006; Population using at least basic drinking-water services (%); Rural","2006; Population using safely managed drinking-water services (%); Total","2006; Population using safely managed drinking-water services (%); Urban","2006; Population using safely managed drinking-water services (%); Rural","2005; Population using at least basic drinking-water services (%); Total","2005; Population using at least basic drinking-water services (%); Urban","2005; Population using at least basic drinking-water services (%); Rural","2005; Population using safely managed drinking-water services (%); Total","2005; Population using safely managed drinking-water services (%); Urban","2005; Population using safely managed drinking-water services (%); Rural","2004; Population using at least basic drinking-water services (%); Total","2004; Population using at least basic drinking-water services (%); Urban","2004; Population using at least basic drinking-water services (%); Rural","2004; Population using safely managed drinking-water services (%); Total","2004; Population using safely managed drinking-water services (%); Urban","2004; Population using safely managed drinking-water services (%); Rural","2003; Population using at least basic drinking-water services (%); Total","2003; Population using at least basic drinking-water services (%); Urban","2003; Population using at least basic drinking-water services (%); Rural","2003; Population using safely managed drinking-water services (%); Total","2003; Population using safely managed drinking-water services (%); Urban","2003; Population using safely managed drinking-water services (%); Rural","2002; Population using at least basic drinking-water services (%); Total","2002; Population using at least basic drinking-water services (%); Urban","2002; Population using at least basic drinking-water services (%); Rural","2002; Population using safely managed drinking-water services (%); Total","2002; Population using safely managed drinking-water services (%); Urban","2002; Population using safely managed drinking-water services (%); Rural","2001; Population using at least basic drinking-water services (%); Total","2001; Population using at least basic drinking-water services (%); Urban","2001; Population using at least basic drinking-water services (%); Rural","2001; Population using safely managed drinking-water services (%); Total","2001; Population using safely managed drinking-water services (%); Urban","2001; Population using safely managed drinking-water services (%); Rural","2000; Population using at least basic drinking-water services (%); Total","2000; Population using at least basic drinking-water services (%); Urban","2000; Population using at least basic drinking-water services (%); Rural","2000; Population using safely managed drinking-water services (%); Total","2000; Population using safely managed drinking-water services (%); Urban","2000; Population using safely managed drinking-water services (%); Rural"
"Belize","98","99","98","","","","98","99","98","","","","98","99","98","","","","98","99","98","","","","98","99","98","","","","98","99","97","","","","98","99","96","","","","97","99","96","","","","97","99","95","","","","96","98","94","","","","95","98","93","","","","95","97","93","","","","94","97","92","","","","93","96","91","","","","93","96","90","","","","92","95","89","","","","91","94","89","","","","91","94","88","","","","90","93","87","","","","89","93","87","","","","89","92","86","","","","88","92","85","","","","87","91","84","","",""
"Benin","67","74","61","","","","67","74","60","","","","67","74","60","","","","67","74","60","","","","66","74","59","","","","66","75","59","","","","66","75","58","","","","66","75","58","","","","66","75","58","","","","65","75","57","","","","65","75","57","","","","65","76","56","","","","65","76","56","","","","64","76","56","","","","64","76","55","","","","64","76","55","","","","63","76","55","","","","63","76","54","","","","63","77","54","","","","63","77","53","","","","62","77","53","","","","62","77","53","","","","62","77","52","","",""
"Bhutan","99","100","99","73","59","85","99","100","99","73","57","85","99","99","99","69","55","80","99","99","99","65","53","74","99","99","99","61","51","68","99","99","99","57","49","62","98","98","98","52","47","55","97","98","97","47","45","49","97","98","96","43","43","43","96","98","94","38","41","36","95","98","93","34","41","30","94","98","92","30","41","24","93","97","91","26","41","19","92","97","89","26","41","18","91","97","88","26","41","18","90","97","87","25","41","18","89","97","85","25","41","18","88","96","84","25","41","17","87","96","83","24","41","17","86","96","82","24","41","17","85","96","80","23","41","17","83","96","79","23","41","16","82","96","78","22","41","16"
"Bolivia (Plurinational State of)","94","100","81","","","","94","99","80","","","","93","99","79","","","","93","99","78","","","","92","99","77","","","","91","99","76","","","","91","98","75","","","","90","98","73","","","","90","98","72","","","","89","98","71","","","","89","98","70","","","","88","97","69","","","","87","97","68","","","","87","97","67","","","","86","97","66","","","","86","97","65","","","","85","97","64","","","","84","96","63","","","","84","96","61","","","","83","96","60","","","","82","96","59","","","","81","96","58","","","","81","95","57","","",""
"Bosnia and Herzegovina","96","95","97","87","","","96","95","97","88","","","96","95","97","88","","","96","95","97","89","","","96","95","97","89","","","96","95","97","89","","","96","95","97","89","","","96","95","97","89","","","96","95","97","89","","","96","95","97","89","","","96","95","97","89","","","97","96","97","89","","","97","96","97","89","","","97","96","97","88","","","97","96","97","88","","","97","97","97","88","","","97","97","97","88","","","97","97","97","88","","","97","98","97","88","","","97","98","97","88","","","97","98","96","88","","","97","98","96","87","","","97","99","96","87","",""
"Botswana","93","98","80","","73","","92","98","80","","73","","92","98","79","","73","","92","98","79","","73","","91","97","77","","74","","90","97","76","","75","","89","97","74","","75","","89","97","72","","76","","88","96","70","","77","","87","96","68","","78","","85","96","67","","79","","84","95","65","","79","","83","95","63","","80","","82","95","61","","81","","80","95","59","","82","","79","94","58","","83","","77","94","56","","83","","76","94","54","","84","","76","94","54","","84","","76","94","54","","84","","76","94","54","","84","","76","94","54","","84","","75","94","54","","84",""
"Brazil","100","100","98","87","89","76","100","100","98","87","88","75","99","100","96","86","88","73","99","100","93","85","87","71","99","100","92","84","87","69","98","100","91","84","86","67","98","99","89","83","86","64","98","99","89","82","85","63","98","99","88","81","85","61","97","99","87","80","84","59","97","99","86","80","84","57","97","99","85","79","83","56","97","99","84","79","83","56","96","99","83","79","83","55","96","99","82","79","83","54","96","99","81","78","83","54","95","99","79","78","83","53","95","99","78","78","83","52","95","98","77","78","83","52","94","98","76","77","83","51","94","98","75","77","83","50","94","98","74","77","83","49","93","98","73","76","83","47"
"Brunei Darussalam","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","",""
"Bulgaria","99","100","97","96","","","99","100","97","96","","","99","100","98","96","","","99","100","98","96","","","99","100","98","96","","","99","100","98","96","","","99","100","98","97","","","99","100","98","97","","","99","100","98","97","","","99","100","98","96","","","99","100","98","96","","","99","100","99","95","","","99","100","99","95","","","99","100","99","94","","","100","100","99","94","","","100","100","99","93","","","100","100","99","93","","","100","100","99","92","","","100","100","99","92","","","100","100","99","91","","","100","100","100","91","","","100","100","100","90","","","100","100","100","90","",""
"Burkina Faso","50","81","35","","","","49","81","35","","","","49","81","34","","","","49","80","36","","","","49","80","37","","","","50","80","38","","","","50","80","39","","","","51","80","40","","","","51","80","41","","","","52","80","42","","","","52","80","43","","","","53","80","44","","","","53","80","45","","","","54","80","46","","","","54","79","47","","","","55","79","48","","","","55","79","49","","","","56","79","49","","","","56","79","50","","","","57","79","51","","","","57","79","52","","","","58","79","53","","","","58","79","53","","",""
"Burundi","62","91","58","","","","62","91","58","","","","62","91","58","","","","62","91","58","","","","61","90","57","","","","61","90","57","","","","60","89","56","","","","60","89","56","","","","59","88","55","","","","58","88","55","","","","58","88","54","","","","57","87","53","","","","57","87","53","","","","56","86","52","","","","55","86","52","","","","55","85","51","","","","54","85","51","","","","54","84","50","","","","53","84","50","","","","52","83","49","","","","52","83","49","","","","51","83","48","","","","51","82","48","","",""
"Cote d'Ivoire","73","86","58","44","59","27","73","86","58","44","59","27","73","86","58","44","59","27","73","87","58","42","56","27","72","87","58","40","54","27","72","87","57","39","51","26","72","87","57","37","49","25","72","88","57","35","46","24","72","88","57","33","43","24","72","88","57","32","41","23","72","88","57","29","38","20","72","88","57","25","35","15","72","89","57","25","36","15","72","89","56","25","36","15","72","89","56","24","36","15","71","89","56","24","36","15","71","90","56","24","36","15","71","90","56","24","36","15","71","90","56","24","36","15","71","90","56","24","36","15","71","90","56","24","36","15","71","91","55","24","36","14","71","91","55","23","36","13"
"Cabo Verde","90","93","83","","","","90","93","83","","","","89","93","81","","","","89","93","80","","","","88","93","78","","","","87","93","77","","","","86","92","75","","","","85","92","74","","","","85","92","73","","","","84","91","72","","","","84","91","72","","","","83","90","72","","","","83","90","72","","","","83","90","71","","","","82","89","71","","","","82","89","71","","","","81","89","71","","","","81","88","71","","","","80","88","70","","","","80","87","70","","","","80","87","70","","","","79","87","70","","","","79","87","70","","",""
"Cambodia","78","94","73","29","58","20","77","93","72","28","57","19","76","93","71","28","56","19","75","92","70","27","56","18","74","91","69","27","55","18","73","91","68","26","55","18","72","90","67","26","54","17","71","90","66","25","54","17","70","89","65","24","53","16","69","89","64","24","53","16","68","88","63","23","52","15","67","87","62","23","52","15","66","87","61","22","51","15","65","86","59","21","51","14","63","86","58","21","50","14","62","85","57","20","49","13","61","84","55","20","49","13","60","84","54","19","48","12","59","83","53","19","48","12","57","82","51","18","47","12","55","81","49","18","47","11","54","80","47","17","46","11","52","80","46","17","46","10"
"Cameroon","70","82","52","","","","69","81","52","","","","68","81","51","","","","68","82","50","","","","68","82","49","","","","67","82","48","","","","67","82","48","","","","66","82","47","","","","65","82","46","","","","65","82","45","","","","64","82","45","","","","64","82","44","","","","63","82","43","","","","63","82","42","","","","62","82","41","","","","61","82","40","","","","61","82","40","","","","60","82","39","","","","59","83","38","","","","59","83","37","","","","58","83","36","","","","57","83","35","","","","56","83","34","","",""
"Canada","99","99","99","99","","","99","99","99","99","","","99","99","99","99","","","99","99","99","99","","","99","99","99","99","","","99","99","99","99","","","99","99","99","99","","","99","99","99","99","","","99","99","99","99","","","99","99","99","99","","","99","99","99","99","","","99","99","99","99","","","99","99","99","99","","","99","99","98","98","","","99","99","98","98","","","99","99","98","98","","","99","99","98","98","","","99","99","98","98","","","99","100","98","98","","","99","100","98","98","","","99","100","98","98","","","99","100","98","98","","","99","100","98","98","",""
"Central African Republic","36","48","27","6","11","2","36","48","27","6","11","2","37","50","28","6","12","2","38","51","29","6","12","2","39","53","30","6","12","2","40","54","30","6","12","2","41","56","31","7","13","2","42","58","32","7","13","3","43","59","33","7","13","3","44","61","33","7","13","3","45","63","34","7","14","3","47","64","35","7","14","3","48","66","36","7","14","3","49","68","37","7","14","3","50","69","38","7","15","3","51","71","38","8","15","3","52","73","39","8","15","3","53","75","40","8","16","3","54","76","41","8","16","3","55","78","42","8","16","3","57","80","43","8","16","3","58","81","44","8","17","3","59","83","44","9","17","3"
